"value","trial_type","trial_index","time_elapsed","internal_node_id","subject","browser_info","participant_number","rt","responses","view_history","presentation_start_time","id","text","response","keypresses","answer","correct","study","experimenter_rt"
"","call-function","0","4","0.0-0.0","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","","","","","","","","","","","",""
"","survey-text","1","7413","0.0-1.0","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","7407","{""Q0"":""14""}","","","","","","","","","",""
"","instructions","2","93012","0.0-2.0","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","85597","","[{""page_index"":0,""viewing_time"":85596}]","","","","","","","","",""
"","call-function","3","93012","0.0-3.0","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","","","","","","","","","","","",""
"","html-voicekey-response","4","98310","0.0-4.0-0.0","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","4091.259999995446","","","1558338697101","1","","Magdeburg","[]","Magdeburg","true","true","4692.399999999907"
"","html-voicekey-response","5","103025","0.0-4.1-0.1","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","3535.6750000008383","","","1558338702399","1","","Magdeburg","[]","Magdeburg","true","false","4110.710000008112"
"","html-voicekey-response","6","105116","0.0-4.2-0.2","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","922.0349999903468","","","1558338707112","2","","Berlin","[]","Berlin","true","true","1489.079999999376"
"","html-voicekey-response","7","108733","0.0-4.3-0.3","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","2439.5099999909057","","","1558338709204","2","","Berlin","[]","Berlin","true","false","3014.4949999958044"
"","html-voicekey-response","8","111999","0.0-4.4-0.4","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1938.4799999914599","","","1558338712820","3","","Ingolstadt","[]","Ingolstadt","true","true","2664.229999994859"
"","html-voicekey-response","9","114602","0.0-4.5-0.5","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1307.2199999968057","","","1558338716086","4","","Würzburg","[]","Würzburg","true","true","1999.0899999975227"
"","html-voicekey-response","10","119058","0.0-4.6-0.6","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","3277.920000002114","","","1558338718689","3","","Ingolstadt","[]","Ingolstadt","true","false","3854.5149999990826"
"","html-voicekey-response","11","121526","0.0-4.7-0.7","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1173.300000003865","","","1558338723145","4","","Würzburg","[]","Würzburg","true","false","1865.3900000063004"
"","html-voicekey-response","12","123974","0.0-4.8-0.8","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1321.779999992787","","","1558338725613","5","","Aachen","[]","Aachen","true","true","1846.3800000026822"
"","html-voicekey-response","13","126787","0.0-4.9-0.9","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1622.6600000025705","","","1558338728061","6","","Dresden","[]","Dresden","true","true","2211.1900000018068"
"","html-voicekey-response","14","129571","0.0-4.10-0.10","1jtlba5vup147vw","{""user_agent"":""Mozilla/5.0 (Macintosh; Intel Mac OS X 10_14_4) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36"",""on_chrome"":true,""on_mobile"":false,""language"":""en-US"",""screen_resolution"":[1440,900],""platform"":""MacIntel"",""timezone"":""Europe/Berlin""}","14","1406.0249999982539","","","1558338730874","5","","Aachen","[]","Aachen","true","false","2181.7399999999907"
